Designator,Value,Description,Quantity,PartNumber,Manufacturer,PartSymbol

"BOOT, LED1, PWR","KPT-1608SGC","LED Green 0603 case","3","LED_G","KINGBRIGHT","KPT-1608SGC"
"C1, C2, C3, C4","4u7","MLCC SMT Capacitor 4.7uF 0402","4","C_4u7_0402","MURATA","GRM155R60G475ME"
"C5, C19, C26, C27, C30, C33","100n","MLCC SMT Capacitor 100nF 0603","6","C_100n_0603","AVX","0603YC104KAZ2A"
"C6, C7, C8, C9, C12, C39, C40, C42, C43, C44, C45, C48, C50, C53, C54, C73, C74, C75, C76, C77, C78, C79, C80","100n","MLCC SMT Capacitor 100n 0402","23","C_100n_0402","TDK","C1005X5R0J104K050BA"
"C10, C11","100u","MLCC SMT Capacitor 100uF 1206","2","C_100u_1206","VISHAY","TMCMA0J107MTRF"
"C13","10n","MLCC SMT Capacitor 10 nF 0603","1","C_10n_0603","AVX","06031C103JAT2A"
"C14","100p","MLCC SMT Capacitor 100pF 0603","1","C_100p_0603","Walsin","0603N101J500CT"
"C15, C29","47p","MLCC SMT Capacitor 47pF 0603","2","C_47p_0603","AVX","06031A470KAT2A"
"C16, C17, C18, C34","47u","MLCC SMT Capacitor 47uF 0805","4","C_47u_0805","KEMET","C0805C476M9PACTU"
"C21, C22, C23","2u2","MLCC SMT Capacitor 2.2uF 1206","3","C_2u2_1206","KEMET","C1206C225J5RACTU"
"C24, C61","10n","MLCC SMT Capacitor 10 nF 0402","2","C_10n_0402","AVX","04025G103ZAT2A"
"C25","4n7","MLCC SMT Capacitor 4.7 nF 0402","1","C_4n7_0402","TDK","CGA2B3X7S2A472K050BB"
"C28, C63, C66","1u","MLCC SMT Capacitor 1uF 0402","3","C_1u_0402","MULTICOMP","MC0402F105Z6R3CT"
"C31","100u","MLCC SMT Capacitor 100uF 1210","1","C_100u_1210","SAMSUNG","CL32A107MQVNNNE"
"C32, C59","1u","MLCC SMT Capacitor 1uF 0603","2","C_1u_0603","KEMET","C0603C105M4PACTU"
"C35, C56, C58","10u","MLCC SMT Capacitor 10uF 0603","3","C_10u_0603","Walsin","0603X106M6R3CT"
"C41","47n","MLCC SMT Capacitor 47nF 0402","1","C_47n_0402","MULTICOMP","MC0402X473K160CT"
"C55, C57, C62","4u7","MLCC SMT Capacitor 4.7uF 0603","3","C_4u7_0603","MULTICOMP","MC0603X475K6R3CT"
"C60","10u","MLCC SMT Capacitor 10uF 0402","1","C_10u_0402","TDK","C1005X5R0J106M050BC"
"C64","47p","MLCC SMT Capacitor 47pF 0402","1","C_47p_0402","KEMET","C0402C470J5GACTU"
"C65, C67","2u2","MLCC SMT Capacitor 2.2uF 0402","2","C_2u2_0402","TDK","C1005X5R1A225K050BC"
"D1","PDS760-13","DIODE SCHOTTKY 60V 7A POWERDI5","1","PDS760-13","DIODES INC.","PDS760-13"
"D2, D4, D13, D14","1N4148WS","Diode small signal","4","1N4148WS","ON SEMICONDUCTOR","1N4148WS"
"D3, D5, D8, D9, D10, D11, D12","TPD2E009DRTR","ESD Suppressors 2-CH","7","TPD2E009DRTR","Texas Instruments","TPD2E009DRTR"
"D6, D7","TPD4E05U06","ESD Suppressors 4-CH","2","TPD4E05U06_PASS","Texas Instruments","TPD4E05U06DQAR"
"F1","1206L450SLWR","PTC RESET 6V LO RHO 1206 4.50A","1","LITTELFUSE_1206L450SLWR","LITTELFUSE","1206L450SLWR"
"FAN","MX-22-23-2021","Pinhead connector with key","1","molex_2223-2021","Molex","022232021 A-6373-02A222"
"IC1","TCA9548ARGER","TCA9548ARGER  I2C SWITCH W/ RESET, 8-CH, VQFN-24","1","TCA9548ARGER","Texas Instruments","TCA9548ARGER"
"IC2, IC18","TPD8S009","8-Channel ESD Protection for DisplayPort and HDMI","2","TPD8S009","Texas Instruments","TPD8S009DSMR"
