"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"L5","IHLP-1212AE","-3208.796mil","1181.562mil","-3208.796mil","1181.562mil","-3208.796mil","1224.062mil","T","270.00","IHLP1212AEERR47M11"
"R135","0402","-3091.32mil","1259.269mil","-3091.32mil","1259.269mil","-3110.218mil","1259.269mil","T","360.00","53k6"
"R134","0402","-3026.149mil","1239.078mil","-3026.149mil","1239.078mil","-3026.149mil","1220.18mil","T","90.00","243k"
"J10","1-2199119-5","-3626.437mil","1433.766mil","-3626.437mil","1433.766mil","-3775.059mil","1797.939mil","B","270.00","1-2199119-5"
"R133","0402","-2903.08mil","678.465mil","-2903.08mil","678.465mil","-2903.08mil","659.568mil","T","90.00","0R"
"R132","0402","-3866.985mil","1797.394mil","-3866.985mil","1797.394mil","-3848.087mil","1797.394mil","B","180.00","0R"
"R131","0402","-3866.985mil","1763.006mil","-3866.985mil","1763.006mil","-3848.087mil","1763.006mil","B","180.00","0R"
"R130","0402","-3325.636mil","1346.905mil","-3325.636mil","1346.905mil","-3306.739mil","1346.905mil","T","180.00","0R"
"R129","0402","-3218.986mil","1343.275mil","-3218.986mil","1343.275mil","-3200.088mil","1343.275mil","T","180.00","0R"
"R128","0402","-3437.76mil","1905.085mil","-3437.76mil","1905.085mil","-3456.657mil","1905.085mil","B","360.00","220R"
"R127","0402","-3325.642mil","1300.888mil","-3325.642mil","1300.888mil","-3306.744mil","1300.888mil","T","180.00","0R"
"R126","0402","-3866.985mil","1659.844mil","-3866.985mil","1659.844mil","-3848.087mil","1659.844mil","B","180.00","0R"
"R125","0402","-3866.985mil","1625.456mil","-3866.985mil","1625.456mil","-3848.087mil","1625.456mil","B","180.00","0R"
"R124","0402","-3241.816mil","1300.381mil","-3241.816mil","1300.381mil","-3222.918mil","1300.381mil","T","180.00","0R"
"R123","0402","-3866.985mil","1522.293mil","-3866.985mil","1522.293mil","-3848.087mil","1522.293mil","B","180.00","0R"
"R122","0402","-3866.985mil","1487.906mil","-3866.985mil","1487.906mil","-3848.087mil","1487.906mil","B","180.00","0R"
"R120","0402","-3866.985mil","1384.743mil","-3866.985mil","1384.743mil","-3848.087mil","1384.743mil","B","180.00","0R"
"R119","0402","-3866.985mil","1350.355mil","-3866.985mil","1350.355mil","-3848.087mil","1350.355mil","B","180.00","0R"
"R118","0402","-3866.985mil","1247.192mil","-3866.985mil","1247.192mil","-3848.087mil","1247.192mil","B","180.00","0R"
"R117","0402","-3866.996mil","1212.726mil","-3866.996mil","1212.726mil","-3848.098mil","1212.726mil","B","180.00","0R"
"R116","0402","-3298.652mil","1206.529mil","-3298.652mil","1206.529mil","-3298.652mil","1225.427mil","T","270.00","53k6"
"R115","0402","-3338.093mil","1206.042mil","-3338.093mil","1206.042mil","-3338.093mil","1224.939mil","T","270.00","53k6"
"R114","0402","-2903.008mil","1278.311mil","-2903.008mil","1278.311mil","-2903.008mil","1297.209mil","T","270.00","53k6"
"R113","0402","-3868.16mil","1044.317mil","-3868.16mil","1044.317mil","-3887.057mil","1044.317mil","B","360.00","0R"
"R111","0603","-3111.813mil","645.336mil","-3111.813mil","645.336mil","-3079.726mil","645.336mil","T","180.00","100k"
"Q3","SOT-23","-3094.951mil","739.473mil","-3094.951mil","739.473mil","-3132.352mil","776.875mil","T","360.00","PMV32UP"
"PCIe","LED0603","-3528.742mil","1904.65mil","-3528.742mil","1904.65mil","-3501.242mil","1904.65mil","B","180.00","KPT-1608SGC"
"J8","WE_693072010801","-2775.709mil","657.441mil","-2515.748mil","925.197mil","-2713.701mil","783.426mil","T","90.00","693072010801"
"IC17","SIT1533AC","-3870.836mil","1111.513mil","-3870.836mil","1111.514mil","-3870.836mil","1143.009mil","B","270.00","SIT1533AC-H5-D14-32.768D"
"D16","TPD4E05U06_PASS","-2887.702mil","770.544mil","-2887.702mil","770.544mil","-2872.544mil","809.914mil","T","270.00","TPD4E05U06"
"D15","TPD4E05U06_PASS","-2840.343mil","575.301mil","-2840.343mil","575.301mil","-2879.713mil","590.459mil","T","360.00","TPD4E05U06"
"C71","0402","-3867.758mil","1175.91mil","-3867.758mil","1175.91mil","-3848.86mil","1175.91mil","B","180.00","100n"
"C70","0402","-3866.985mil","1728.619mil","-3866.985mil","1728.619mil","-3848.087mil","1728.619mil","B","180.00","100n"
"C69","0402","-3866.985mil","1694.231mil","-3866.985mil","1694.231mil","-3848.087mil","1694.231mil","B","180.00","100n"
"C68","0402","-3866.985mil","1591.068mil","-3866.985mil","1591.068mil","-3848.087mil","1591.068mil","B","180.00","100n"
"C52","0402","-3866.985mil","1556.681mil","-3866.985mil","1556.681mil","-3848.087mil","1556.681mil","B","180.00","100n"
"C51","0402","-3866.985mil","1453.518mil","-3866.985mil","1453.518mil","-3848.087mil","1453.518mil","B","180.00","100n"
"C49","0402","-3866.985mil","1419.13mil","-3866.985mil","1419.13mil","-3848.087mil","1419.13mil","B","180.00","100n"
"C47","0603","-3306.436mil","1108.512mil","-3306.436mil","1108.512mil","-3306.436mil","1140.598mil","T","270.00","10u"
"C46","0402","-3360.952mil","1086.582mil","-3360.952mil","1086.582mil","-3360.952mil","1105.479mil","T","270.00","100n"
"C38","0402","-3866.985mil","1315.968mil","-3866.985mil","1315.968mil","-3848.087mil","1315.968mil","B","180.00","100n"
"C37","0402","-3867.328mil","1281.854mil","-3867.328mil","1281.854mil","-3848.43mil","1281.854mil","B","180.00","100n"
"C36","0402","-2838.662mil","658.939mil","-2838.662mil","658.939mil","-2857.56mil","658.939mil","T","360.00","100n"
"C20","0603","-2973.473mil","786.748mil","-2973.473mil","786.748mil","-2973.473mil","818.834mil","T","270.00","10u"
"R110","0402","-1995mil","690mil","-1995mil","690mil","-1995mil","708.898mil","T","270.00","0R"
"R109","0402","-2045mil","690mil","-2045mil","690mil","-2045mil","708.898mil","T","270.00","0R"
"R108","0402","-2191mil","1023.622mil","-2191mil","1023.622mil","-2191mil","1042.52mil","T","270.00","0R"
"R107","0402","-2146mil","1023.622mil","-2146mil","1023.622mil","-2146mil","1042.52mil","T","270.00","0R"
"R106","0402","-2205mil","690mil","-2205mil","690mil","-2205mil","708.898mil","T","270.00","0R"
