Designator,Manufacturer,PartNumber,PartSymbol,Value,Description,Quantity

"BAT1","SEIKO INSTRUMENTS","MS621FE-FL11E","MS621FE-FL11E","MS621FE-FL11E","Rechargeable Battery, Coin Cell, Single Cell, 3 V, Lithium Manganese Dioxide, 5.5 mAh, Button Cell","1"
"BOOT, LED1, NVME, PWR, USER","KINGBRIGHT","LED_G","KPT-1608SGC","KPT-1608SGC","LED Green 0603 case","5"
"C1, C2, C3, C4, C55, C57, C62","MURATA","C_4u7_0402","GRM155R60J475ME87D","4u7","MLCC SMT Capacitor 4.7uF 0402","7"
"C5, C6, C7, C8, C9, C12, C19, C20, C26, C27, C30, C33, C36, C37, C38, C39, C40, C42, C43, C44, C45, C46, C48, C49, C50, C51, C52, C53, C54, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80","TDK","C_100n_0402","C1005X5R0J104K050BA","100n","MLCC SMT Capacitor 100n 0402","42"
"C10, C11, C31","KEMET","C_100u_1206","C1206C107M9PACTU","100u","MLCC SMT Capacitor 100uF 1206","3"
"C13, C24","AVX","C_10n_0402","04025G103ZAT2A","10n","MLCC SMT Capacitor 10 nF 0402","2"
"C14","AVX","C_100p_0805","08051A101JAT2A","100p","MLCC SMT Capacitor 100pF 0805","1"
"C15, C29, C64","KEMET","C_47p_0402","C0402C470J5GACTU","47p","MLCC SMT Capacitor 47pF 0402","3"
"C16, C17, C18, C34","KEMET","C_47u_0805","C0805C476M9PACTU","47u","MLCC SMT Capacitor 47uF 0805","4"
"C21, C22, C23","KEMET","C_2u2_1206","C1206C225J5RACTU","2u2","MLCC SMT Capacitor 2.2uF 1206","3"
"C25","TDK","C_4n7_0402","CGA2B3X7S2A472K050BB","4n7","MLCC SMT Capacitor 4.7 nF 0402","1"
"C28, C32, C66","MULTICOMP","C_1u_0402","MC0402F105Z6R3CT","1u","MLCC SMT Capacitor 1uF 0402","3"
"C35, C47, C56, C58, C60, C63","Walsin","C_10u_0603","0603X106M6R3CT","10u","MLCC SMT Capacitor 10uF 0603","6"
"C41","MULTICOMP","C_47n_0402","MC0402X473K160CT","47n","MLCC SMT Capacitor 47nF 0402","1"
"C59, C65, C67","TDK","C_2u2_0402","C1005X5R1A225K050BC","2u2","MLCC SMT Capacitor 2.2uF 0402","3"
"C61","WALSIN","C_100p_0402","0402N101J500CT","100p","MLCC SMT Capacitor 100pF 0402","1"
"D1","DIODES INC.","PDS760-13","PDS760-13","PDS760-13","DIODE SCHOTTKY 60V 7A POWERDI5","1"
"D2, D4, D13, D14, D15, D17","ON SEMICONDUCTOR","1N4148WS","1N4148WS","1N4148WS","Diode small signal","6"
"D3, D5, D8, D9, D10, D11, D12","NXP","TPD2E009DBZR","","TPD2E009DBZR","DIODE, SCHOTTKY, 30V, 200MA, SOT-23","7"
"D6, D7","Texas Instruments","TPD4E05U06_PASS","TPD4E05U06DQAR","TPD4E05U06","ESD Suppressors 4-CH","2"
"F1","LITTELFUSE","LITTELFUSE_1206L450SLWR","1206L450SLWR","1206L450SLWR","PTC RESET 6V LO RHO 1206 4.50A","1"
