"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J7","68715014022","3558.453mil","7.76mil","3534.478mil","22.92mil","3519.478mil","-474.52mil","B","270.00","68715014022"
"D15","SOD-323","2588.951mil","19.59mil","2588.951mil","19.59mil","2547.416mil","19.59mil","T","270.00","1N4148WS"
"R132","0402","3010.787mil","824.817mil","3010.787mil","824.817mil","2991.889mil","824.817mil","B","360.00","0R"
"D5","SOT-23s","1940.329mil","-582.999mil","1940.329mil","-582.999mil","1902.927mil","-545.597mil","T","0.00","TPD2E009DBZR"
"C32","0402","1443.329mil","-297.998mil","1443.329mil","-297.998mil","1443.329mil","-279.101mil","T","270.00","1u"
"C28","0402","1151.329mil","-75.998mil","1151.329mil","-75.998mil","1132.431mil","-75.998mil","T","360.00","1u"
"C72","0402","2884.329mil","-686.998mil","2884.329mil","-686.998mil","2884.329mil","-705.896mil","T","90.00","100n"
"R119","0402","2584.329mil","-122.998mil","2584.329mil","-122.998mil","2584.329mil","-104.101mil","T","270.00","100k"
"IC17","SOT23-5","2676.43mil","-81.52mil","2676.43mil","-81.52mil","2721.706mil","-118.922mil","T","180.00","AT24CS01-STUM-T"
"C36","0402","2547.031mil","-122.827mil","2547.031mil","-122.827mil","2547.031mil","-141.725mil","T","90.00","100n"
"USER","LED0603","3478.329mil","352.002mil","3478.329mil","352.002mil","3478.329mil","379.502mil","T","270.00","APT1608SGC"
"T5","SC70-3","3629.329mil","159.002mil","3629.329mil","159.002mil","3591.927mil","184.592mil","T","360.00","BSS138PW,115"
"R113","0402","3642.329mil","81.002mil","3642.329mil","81.002mil","3661.226mil","81.002mil","T","180.00","100k"
"R112","0402","1376.329mil","169.002mil","1376.329mil","169.002mil","1376.329mil","150.104mil","T","90.00","10k"
"R111","0402","3424.329mil","380.002mil","3424.329mil","380.002mil","3424.329mil","361.104mil","T","90.00","470R"
"R77","0402","1612.329mil","-57.998mil","1612.329mil","-57.998mil","1612.329mil","-76.896mil","T","90.00","100k"
"R95","0402","3236.329mil","-718.998mil","3236.329mil","-718.998mil","3217.431mil","-718.998mil","T","360.00","10k"
"FAN","molex_2223-2021","3389.399mil","-485.195mil","3389.399mil","-485.195mil","3339.399mil","-485.195mil","T","0.00","MX-22-23-2021"
"D17","SOD-323","2519.329mil","-877.999mil","2519.329mil","-877.998mil","2519.329mil","-836.463mil","T","180.00","1N4148WS"
"R135","0402","3093.329mil","-578.998mil","3093.329mil","-578.998mil","3074.431mil","-578.998mil","T","360.00","53k6"
