"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"BOOT","LED0603","-29.5205mm","8.1066mm","-29.5205mm","8.1066mm","-29.5205mm","7.4081mm","T","90.00","KPT-1608SGC"
"J3","WE_7499110124","-90.2256mm","17mm","-90.2256mm","17mm","-84.5106mm","16.49mm","T","180.00","WE_7499110124"
"T3","SC70-3","-15.6mm","21mm","-15.6mm","21mm","-16.55mm","21.65mm","T","360.00","BSS138PW"
"R96","0402","-17.5mm","21.1mm","-17.5mm","21.1mm","-17.5mm","20.62mm","T","90.00","1k"
"J9","CON-Molex-047346-0001","-23.5256mm","3.933mm","-23.5256mm","4mm","-24.8256mm","5.263mm","T","90.00","Molex 47346-0001"
"D1","PowerDI","-97.7mm","45.1812mm","-97.7mm","43.2mm","-96.7602mm","47.1624mm","T","90.00","PDS760-13"
"R52","0402","-93.65mm","46.4mm","-93.65mm","46.4mm","-94.13mm","46.4mm","T","360.00","10k2"
"R48","0402","-93.4mm","43.8mm","-93.4mm","43.8mm","-93.88mm","43.8mm","T","360.00","16k9"
"R46","0402","-93.65mm","45.6mm","-93.65mm","45.6mm","-93.17mm","45.6mm","T","180.00","53k6"
"R45","0402","-95.1mm","46mm","-95.1mm","46mm","-95.1mm","45.52mm","T","90.00","49R9"
"R44","0402","-85.55mm","45.4mm","-85.55mm","45.4mm","-86.03mm","45.4mm","T","360.00","243k"
"R40","0402","-80.4mm","25.9mm","-80.4mm","25.9mm","-80.4mm","25.42mm","T","90.00","220R"
"R38","0402","-81.4256mm","25.9mm","-81.4256mm","25.9mm","-81.4256mm","26.38mm","T","270.00","220R"
"L1","WE_7447798720","-94.3mm","35.3mm","-94.3mm","35.3mm","-94.3mm","39.4mm","T","270.00","WE_7447798720"
"IC3","WSON-10_4x4","-89.3mm","43.8mm","-89.3mm","43.8mm","-87.3mm","42.2mm","T","270.00","TPS54561-Q1"
"C64","0402","-93.4mm","44.6mm","-93.4mm","44.6mm","-93.825mm","44.6mm","T","360.00","47p"
"C25","0402","-95.1mm","44mm","-95.1mm","44mm","-95.1mm","44.425mm","T","270.00","4n7"
"C24","0402","-85.6mm","44.6mm","-85.6mm","44.6mm","-86.025mm","44.6mm","T","360.00","10n"
"C23","1206","-87.9mm","49.6333mm","-87.9mm","49.6333mm","-89.275mm","49.6333mm","T","360.00","2u2"
"C22","1206","-87.9mm","47.3mm","-87.9mm","47.3mm","-89.275mm","47.3mm","T","360.00","2u2"
"C21","1206","-87.9mm","51.9667mm","-87.9mm","51.9667mm","-89.275mm","51.9667mm","T","360.00","2u2"
"C19","0603","-88.1mm","41mm","-88.1mm","41mm","-88.825mm","41mm","T","360.00","100n"
"C18","0805","-94.4mm","28mm","-94.4mm","28mm","-94.4mm","27.125mm","T","90.00","47u"
