old_lib,old_name,new_lib,new_name(s)
jetson-nano-baseboard,SPACER,antmicroMechanicalParts,Spacer_H6mm_9774060151
jetson-nano-baseboard,battery,antmicroBatteryHoldersClipsContacts,Battery_Holder_MS621FE-FL11E
jetson-nano-baseboard,LED,antmicroLEDIndicationDiscrete,LED_G_0603_LG_L29K-G2J1-24-Z
jetson-nano-baseboard,BSS138APW,antmicroTransistorsFETsMOSFETsSingle,BSS138PW
jetson-nano-baseboard,74279221100,antmicroFerriteBeadsandChips,FB_10Z_10A_1206
jetson-nano-baseboard,04671.25NR,antmicroFuses,F_1.25A_0603
jetson-nano-baseboard,AT24CS01,antmicroMemory,AT24CS01-SSHM-B
jetson-nano-baseboard,diode,antmicroDiodesRectifiersSingle,1N4148WS
jetson-nano-baseboard,WE_68715014522,antmicroFCCConnectors,Conn_FFC_68715014522_ONE-SIDE
jetson-nano-baseboard,PCA9547BS,118,antmicroLogicSignalSwitchesMultiplexersDecoders,PCA9547_VQFN
jetson-nano-baseboard,DC_SOCKET,antmicroBarrelAudioConnectors,BarrelJack_3167288
jetson-nano-baseboard,SN74LVC1G126,antmicroLogicGatesandInverters,SN74LVC1G126DCKR
jetson-nano-baseboard,C_100n_0402_50V,antmicroCapacitorsmisc,C_100n_50V_0402
jetson-nano-baseboard,533980471,antmicroRectangularConnectorsHeadersMalePins,PinHeader_PicoBlade_1x4_P1.25mm_SMD
jetson-nano-baseboard,TPS7A0518PDBVT,antmicroPMICVoltageRegulatorsLinear,TPS7A0518P_SOT23-5
jetson-nano-baseboard,FT232RQ,antmicroInterfaceControllers,FT232R_QFN
jetson-nano-baseboard,HD3SS3220,antmicroInterfaceControllers,HD3SS3220RNH
jetson-nano-baseboard,BLM18SG121TN1D,antmicroFerriteBeadsandChips,FB_120Z_3A_0603
jetson-nano-baseboard,Micro_USB_B,antmicroUSBDVIHDMIConnectors,USB-Micro-B_0473460001
jetson-nano-baseboard,WE_632723300011,antmicroUSBDVIHDMIConnectors,USB-C_632723300011
jetson-nano-baseboard,TPD8S009,antmicroTVSDiodes,TPD8S009DSMR
jetson-nano-baseboard,miniDP,antmicroSoMConnectors,DisplayPort_Mini_2129320-3
jetson-nano-baseboard,46756-1001,antmicroUSBDVIHDMIConnectors,HDMI_Micro-D_46756-1001
jetson-nano-baseboard,Testpad,antmicroTestPoints,TP_1.5mm_SMD
jetson-nano-baseboard,R_100k_1%_0402,antmicroResistors0402,R_100k_0402
jetson-nano-baseboard,R_60k4_1%_0402,antmicroResistors0402,R_60k4_0402
jetson-nano-baseboard,R_8k66_1%_0402,antmicroResistors0402,R_8k66_0402
jetson-nano-baseboard,Jetson-Nano-Module-model,antmicroModules,jetson-nano-module
jetson-nano-baseboard,TC2030,antmicroTestPoints,TAG-6PIN
jetson-nano-baseboard,XFL4020-222MEC,antmicroFixedInductors,L_2u2_3.7A_XFL4020
jetson-nano-baseboard,74279220181,antmicroFerriteBeadsandChips,FB_180Z_3.1A_0805
